content,content_clean,content_preprocessing,polarity_score,polarity
Gak bisa download file jenis document dan pdf,gak bisa download file jenis document dan pdf,"['gak', 'download', 'file', 'jenis', 'document', 'pdf']",0,negative
Aplikasinya sangat membantu saya dalam belajar,aplikasinya sangat membantu saya dalam belajar,"['aplikasi', 'sangat', 'bantu', 'ajar']",-9,negative
"Jaringan internet saya lancar, tetapi stelah terbuka edlink sevima cuman loading di beranda tanpa memunculkan berita, kelas, dll. Jadi , saya gk bisa kumpulkan tugas",jaringan internet saya lancar tetapi stelah terbuka edlink sevima cuman loading di beranda tanpa memunculkan berita kelas dll jadi  saya gk bisa kumpulkan tugas,"['jaring', 'internet', 'lancar', 'stelah', 'buka', 'edlink', 'sevima', 'cuman', 'loading', 'beranda', 'muncul', 'berita', 'kelas', 'jadi', 'gk', 'kumpul', 'tugas']",-8,negative
"mengapa edlink sy tdk bs uploax tugas yaa? apakah blm support adro 10 ? atau yg bagaimana ?? karena tertera folder yg ada hanya ""storages"" tanpa ada pilihan internal ataupun external, mohon bantuannya",mengapa edlink sy tdk bs uploax tugas yaa apakah blm support adro   atau yg bagaimana  karena tertera folder yg ada hanya storages tanpa ada pilihan internal ataupun external mohon bantuannya,"['edlink', 'sy', 'tdk', 'bs', 'uploax', 'tugas', 'yaa', 'blm', 'support', 'adro', 'yg', 'bagaimana', 'tera', 'folder', 'yg', 'storages', 'pilih', 'internal', 'atau', 'external', 'mohon', 'bantu']",-5,negative
Aplikasinya parah ancur nilai semester ini gara gara aplikasinya yang kaga jelas,aplikasinya parah ancur nilai semester ini gara gara aplikasinya yang kaga jelas,"['aplikasi', 'parah', 'ancur', 'nilai', 'semester', 'gara', 'gara', 'aplikasi', 'kaga', 'jelas']",-18,negative
Kok edlink jadi jelek bgt. Bagusan sebelum di perbaharui tau.,kok edlink jadi jelek bgt bagusan sebelum di perbaharui tau,"['kok', 'edlink', 'jadi', 'jelek', 'bgt', 'bagus', 'baharu', 'tau']",-12,negative
Tolong perbaiki untuk android 10 tidak bisa Download dan Upload File,tolong perbaiki untuk android  tidak bisa download dan upload file,"['baik', 'android', 'download', 'upload', 'file']",2,positive
Okee,okee,['okee'],0,negative
Sangat bagus untuk anak kuliah,sangat bagus untuk anak kuliah,"['sangat', 'bagus', 'anak', 'kuliah']",-8,negative
"Bagus dan dapat berkomunikasi dengan siswa, sayangnya kapasitas penyimpanan/unggah file terbatas",bagus dan dapat berkomunikasi dengan siswa sayangnya kapasitas penyimpananunggah file terbatas,"['bagus', 'komunikasi', 'siswa', 'sayang', 'kapasitas', 'penyimpananunggah', 'file', 'batas']",-1,negative
"Kenapa ketika ujian, waktunya sudah tidka bisa dilihat?",kenapa ketika ujian waktunya sudah tidka bisa dilihat,"['uji', 'waktu', 'tidka', 'lihat']",4,positive
"Kenapa sih keluar terus, harus masuk lagi, dan susah banget masuknya😑",kenapa sih keluar terus harus masuk lagi dan susah banget masuknya,"['sih', 'keluar', 'terus', 'masuk', 'susah', 'banget', 'masuk']",-11,negative
4 dulu ya..soalnya baru coba..,dulu yasoalnya baru coba,"['dulu', 'yasoalnya', 'baru', 'coba']",1,positive
Aplikasi selalu terhenti dan tidak bisa mendonload berkas,aplikasi selalu terhenti dan tidak bisa mendonload berkas,"['aplikasi', 'selalu', 'henti', 'mendonload', 'berkas']",-8,negative
"Kenapa akun edlink saya keluar sendiri? Padahal sekalipun nggak pernah saya log out, tetap dalam akun yang sama, tapi sekarang akun saya log out dengan sendirinya, bahkan saya coba masuk kembali lewat akun google, siakad bahkan email pun juga gk bisa semua. Tolong untuk developer diperbaiki lagi edlink nya, sangat terganggu bila terus seperti ini, mengganggu pelajaran dan absen yang akan dilakukan",kenapa akun edlink saya keluar sendiri padahal sekalipun nggak pernah saya log out tetap dalam akun yang sama tapi sekarang akun saya log out dengan sendirinya bahkan saya coba masuk kembali lewat akun google siakad bahkan email pun juga gk bisa semua tolong untuk developer diperbaiki lagi edlink nya sangat terganggu bila terus seperti ini mengganggu pelajaran dan absen yang akan dilakukan,"['akun', 'edlink', 'keluar', 'sendiri', 'padahal', 'sekalipun', 'pernah', 'log', 'out', 'tetap', 'akun', 'sama', 'sekarang', 'akun', 'log', 'out', 'sendiri', 'bahkan', 'coba', 'masuk', 'lewat', 'akun', 'google', 'siakad', 'bahkan', 'email', 'gk', 'semua', 'developer', 'baik', 'edlink', 'nya', 'sangat', 'ganggu', 'bila', 'terus', 'ganggu', 'ajar', 'absen', 'laku']",-24,negative
"Cukup lengkap fiturnya, lg dipelajari. Sperti edm*** saya suka ini smg edlink lebih baik lagi. Oh ya untuk menambahkan jenjang pendidikan jk SMK gimana ya..",cukup lengkap fiturnya lg dipelajari sperti edm saya suka ini smg edlink lebih baik lagi oh ya untuk menambahkan jenjang pendidikan jk smk gimana ya,"['cukup', 'lengkap', 'fiturnya', 'lg', 'ajar', 'sperti', 'edm', 'suka', 'smg', 'edlink', 'lebih', 'baik', 'tambah', 'jenjang', 'didik', 'jk', 'smk', 'gimana']",0,negative
"Tolong di update lagi, file setelah download tidak bisa dibuka di handphone",tolong di update lagi file setelah download tidak bisa dibuka di handphone,"['update', 'file', 'download', 'buka', 'handphone']",0,negative
"App ini bagus tp makin lama makin menurun aja ya, tiap refresh atau kembali ke beranda pst nge close2 sndiri pdhl jaringan stabil pake buka apa aja cpet, app ini doang bermasalah, dan sring bgt gangguan klo pke indihome. Tlg diperbaiki dong ujian jg kadang keganggu grgr sring error pke indihome.",app ini bagus tp makin lama makin menurun aja ya tiap refresh atau kembali ke beranda pst nge close sndiri pdhl jaringan stabil pake buka apa aja cpet app ini doang bermasalah dan sring bgt gangguan klo pke indihome tlg diperbaiki dong ujian jg kadang keganggu grgr sring error pke indihome,"['app', 'bagus', 'tp', 'makin', 'lama', 'makin', 'turun', 'aja', 'tiap', 'refresh', 'beranda', 'pst', 'nge', 'close', 'sndiri', 'pdhl', 'jaring', 'stabil', 'pake', 'buka', 'apa', 'aja', 'cpet', 'app', 'doang', 'masalah', 'sring', 'bgt', 'ganggu', 'klo', 'pke', 'indihome', 'tlg', 'baik', 'dong', 'uji', 'jg', 'kadang', 'ganggu', 'grgr', 'sring', 'error', 'pke', 'indihome']",-9,negative
sangat membantu dalam akses perkuliahan ..,sangat membantu dalam akses perkuliahan,"['sangat', 'bantu', 'akses', 'kuliah']",-2,negative
Server rusak teroos perbaiki tuh server nggak mau di download lagi filenya dah lah males,server rusak teroos perbaiki tuh server nggak mau di download lagi filenya dah lah males,"['server', 'rusak', 'teroos', 'baik', 'tuh', 'server', 'mau', 'download', 'filenya', 'dah', 'lah', 'males']",-2,negative
"Tolong di beri notifikasi ketika ada materi,kuis baru",tolong di beri notifikasi ketika ada materikuis baru,"['beri', 'notifikasi', 'materikuis', 'baru']",0,negative
Penyimpananya terbatas,penyimpananya terbatas,"['penyimpananya', 'batas']",-3,negative
Berikan pelayanan yg memuaskan dan berikan reward,berikan pelayanan yg memuaskan dan berikan reward,"['ikan', 'layan', 'yg', 'muas', 'ikan', 'reward']",5,positive
"Aplikasinya bermanfaat, tapi sering eror",aplikasinya bermanfaat tapi sering eror,"['aplikasi', 'manfaat', 'sering', 'eror']",0,negative
Tidak bisa dipakai jika tidak di update,tidak bisa dipakai jika tidak di update,"['pakai', 'update']",0,negative
"Apk nya bohong nihh, aku berkali-kali masuk, komen, dll. Tpi kok presensi ku kosong, hmpir puluhan kali loh aku masuk n komen. Ktanya klo sudh masuk , komen dll presensi bkaln terisi otomatis.. Gak bener nihh",apk nya bohong nihh aku berkalikali masuk komen dll tpi kok presensi ku kosong hmpir puluhan kali loh aku masuk n komen ktanya klo sudh masuk  komen dll presensi bkaln terisi otomatis gak bener nihh,"['apk', 'nya', 'bohong', 'nihh', 'aku', 'berkalikali', 'masuk', 'komen', 'tpi', 'kok', 'presensi', 'ku', 'kosong', 'hmpir', 'puluh', 'kali', 'loh', 'aku', 'masuk', 'n', 'komen', 'ktanya', 'klo', 'sudh', 'masuk', 'komen', 'presensi', 'bkaln', 'isi', 'otomatis', 'gak', 'bener', 'nihh']",-20,negative
"Tolong kepada pihak pengembang.. Saya sudah mendownload materi. Komen dll. Kenapa saya masih tidak terbaca mendownload, dan komen di absen dosen saya..... Tolong diperbaiki lagi.. Sangat mengganggu kami dalam penilaian. Dan saran saya juga ada notifikasi walaupun tdk saat membuka apk ini. Terima kasih...",tolong kepada pihak pengembang saya sudah mendownload materi komen dll kenapa saya masih tidak terbaca mendownload dan komen di absen dosen saya tolong diperbaiki lagi sangat mengganggu kami dalam penilaian dan saran saya juga ada notifikasi walaupun tdk saat membuka apk ini terima kasih,"['pihak', 'kembang', 'mendownload', 'materi', 'komen', 'baca', 'mendownload', 'komen', 'absen', 'dosen', 'baik', 'sangat', 'ganggu', 'nilai', 'saran', 'notifikasi', 'walaupun', 'tdk', 'buka', 'apk', 'terima', 'kasih']",2,positive
Tolong dong edlink di benerin ngirim tugas aja melebihi batas terus di hapus ga bisa makin susah di pake,tolong dong edlink di benerin ngirim tugas aja melebihi batas terus di hapus ga bisa makin susah di pake,"['dong', 'edlink', 'benerin', 'ngirim', 'tugas', 'aja', 'lebih', 'batas', 'terus', 'hapus', 'ga', 'makin', 'susah', 'pake']",-6,negative
Tolonglah apknya di perbaiki lagi loadingnya lama sekali banyak makan waktu. Sehingga kuliah kami mengalami keterlambatan,tolonglah apknya di perbaiki lagi loadingnya lama sekali banyak makan waktu sehingga kuliah kami mengalami keterlambatan,"['tolong', 'apknya', 'baik', 'loadingnya', 'lama', 'sekali', 'banyak', 'makan', 'waktu', 'kuliah', 'alami', 'lambat']",-5,negative
"Eddlink nyaman di pakai , tpi kalau untuk di pakai upload tugas , ruang tidak mencukupi trus pdahal foto cuma beberapa aja , dan berkas susah untuk dihapus ,",eddlink nyaman di pakai  tpi kalau untuk di pakai upload tugas  ruang tidak mencukupi trus pdahal foto cuma beberapa aja  dan berkas susah untuk dihapus,"['eddlink', 'nyaman', 'pakai', 'tpi', 'kalau', 'pakai', 'upload', 'tugas', 'ruang', 'cukup', 'trus', 'pdahal', 'foto', 'cuma', 'beberapa', 'aja', 'berkas', 'susah', 'hapus']",-11,negative
Sekarang sering error,sekarang sering error,"['sekarang', 'sering', 'error']",-2,negative
Sudah mulai membaik,sudah mulai membaik,"['mulai', 'baik']",3,positive
Cukup,cukup,['cukup'],-5,negative
Kenapa makin susah edlinknya sudah diperbaharui,kenapa makin susah edlinknya sudah diperbaharui,"['makin', 'susah', 'edlinknya', 'baharu']",-1,negative
Kenapa saya tidak bisa perbaharui aplikasi ini?,kenapa saya tidak bisa perbaharui aplikasi ini,"['baharu', 'aplikasi']",-4,negative
Sekarang edkink bikin ribet menjak di oerbarui malah ga bisa dipake,sekarang edkink bikin ribet menjak di oerbarui malah ga bisa dipake,"['sekarang', 'edkink', 'bikin', 'ribet', 'menjak', 'oerbarui', 'malah', 'ga', 'dipake']",-4,negative
Toplah,toplah,['top'],5,positive
Edlink susah untuk login/masuk padahal kuota internet saya baru saya isi dari semalam mau kumpul tugas susah banget dan pagi dicoba juga gak bisa masuk/login untuk kumpul tugas. Tolong diperbaiki aplikasi ini supaya membantu siswa/mahasiswa yang lagi kuliah online. Bad,edlink susah untuk loginmasuk padahal kuota internet saya baru saya isi dari semalam mau kumpul tugas susah banget dan pagi dicoba juga gak bisa masuklogin untuk kumpul tugas tolong diperbaiki aplikasi ini supaya membantu siswamahasiswa yang lagi kuliah online bad,"['edlink', 'susah', 'loginmasuk', 'padahal', 'kuota', 'internet', 'baru', 'isi', 'malam', 'mau', 'kumpul', 'tugas', 'susah', 'banget', 'pagi', 'coba', 'gak', 'masuklogin', 'kumpul', 'tugas', 'baik', 'aplikasi', 'bantu', 'siswamahasiswa', 'kuliah', 'online', 'bad']",-18,negative
Kereenn🖒,kereenn,['kereenn'],0,negative
Memudahkan dalam pembelajaran daring,memudahkan dalam pembelajaran daring,"['mudah', 'ajar', 'daring']",1,positive
Masih mencoba,masih mencoba,['coba'],1,positive
"Maaf untuk komen sy yg tidak menyenangkan kemarin Sy hanya emosi karna sulit skali pada waktu ujian, skali lagi maaf Trimakasih🙏🏿",maaf untuk komen sy yg tidak menyenangkan kemarin sy hanya emosi karna sulit skali pada waktu ujian skali lagi maaf trimakasih,"['maaf', 'komen', 'sy', 'yg', 'senang', 'kemarin', 'sy', 'emosi', 'karna', 'sulit', 'skali', 'waktu', 'uji', 'skali', 'maaf', 'trimakasih']",3,positive
Aplikasi mulai kyk goblok hp gue bukan hp kentang tapi lolanya ngeri boss,aplikasi mulai kyk goblok hp gue bukan hp kentang tapi lolanya ngeri boss,"['aplikasi', 'mulai', 'kyk', 'goblok', 'hp', 'gue', 'bukan', 'hp', 'kentang', 'lolanya', 'ngeri', 'boss']",-15,negative
Memudahkan untk kuliah online.,memudahkan untk kuliah online,"['mudah', 'untk', 'kuliah', 'online']",2,positive
Payah,payah,['payah'],0,negative
updatenya terlalu besar sehingga data pada hp tidak mencukupi sehingga terpaksa harus harus instalan apk lain.,updatenya terlalu besar sehingga data pada hp tidak mencukupi sehingga terpaksa harus harus instalan apk lain,"['updatenya', 'terlalu', 'besar', 'data', 'hp', 'cukup', 'paksa', 'instalan', 'apk']",-13,negative
Mantap dehh,mantap dehh,"['mantap', 'dehh']",5,positive
Knpa ini ngak bisa buat ngirim file sih,knpa ini ngak bisa buat ngirim file sih,"['knpa', 'ngak', 'buat', 'ngirim', 'file', 'sih']",1,positive
"Bagus sekali, sangat membantu mahasiswa",bagus sekali sangat membantu mahasiswa,"['bagus', 'sekali', 'sangat', 'bantu', 'mahasiswa']",-6,negative
Rodo embuh iki,rodo embuh iki,"['rodo', 'embuh', 'iki']",0,negative
"Terlalu sering memperbarui, jadi kelasku terhambat😖",terlalu sering memperbarui jadi kelasku terhambat,"['terlalu', 'sering', 'baru', 'jadi', 'kelas', 'hambat']",-8,negative
Apk sangat membantu saya dalam pembelajaran daring,apk sangat membantu saya dalam pembelajaran daring,"['apk', 'sangat', 'bantu', 'ajar', 'daring']",-5,negative
"Setiap d refresh akunya selalu keluar minta login lagi, lebih enak pake yang lama",setiap d refresh akunya selalu keluar minta login lagi lebih enak pake yang lama,"['d', 'refresh', 'aku', 'selalu', 'keluar', 'minta', 'login', 'lebih', 'enak', 'pake', 'lama']",-3,negative
"Kami sangat berterima kasih kpd aplikasi ini, karna aplikasi ini ada kami bisa kuliah",kami sangat berterima kasih kpd aplikasi ini karna aplikasi ini ada kami bisa kuliah,"['sangat', 'terima', 'kasih', 'kpd', 'aplikasi', 'karna', 'aplikasi', 'kuliah']",-8,negative
"Kenapa setelah di perbaharuui justru mempersulit pemakainya ? Kemaren kemaren aplikasi nya sangat membantu hlo. Saya bisa ngliat tugas udah dikumpulin belum,tugas yang ngumpulin siapa aja dan bisa diubah jika ada kesalahan. Setelah diperbaharui malah jadi ga nyaman. Ayolah support kita mahasiswa mahasiswi yang menggunakan aplikasi ini. Tolonggg bangett",kenapa setelah di perbaharuui justru mempersulit pemakainya  kemaren kemaren aplikasi nya sangat membantu hlo saya bisa ngliat tugas udah dikumpulin belumtugas yang ngumpulin siapa aja dan bisa diubah jika ada kesalahan setelah diperbaharui malah jadi ga nyaman ayolah support kita mahasiswa mahasiswi yang menggunakan aplikasi ini tolonggg bangett,"['perbaharuui', 'justru', 'sulit', 'maka', 'kemaren', 'kemaren', 'aplikasi', 'nya', 'sangat', 'bantu', 'hlo', 'ngliat', 'tugas', 'udah', 'dikumpulin', 'belumtugas', 'ngumpulin', 'siapa', 'aja', 'ubah', 'salah', 'baharu', 'malah', 'jadi', 'ga', 'nyaman', 'ayo', 'support', 'mahasiswa', 'mahasiswi', 'guna', 'aplikasi', 'tolonggg', 'bangett']",-6,negative
Terima kasih membantu untuk pembelajaran secara daring,terima kasih membantu untuk pembelajaran secara daring,"['terima', 'kasih', 'bantu', 'ajar', 'daring']",0,negative
"Alhamdulillah aplikasi ini sangat membantu mengumpulkan tugas kuliah, tpi jaringannya harus bagus hrus full..",alhamdulillah aplikasi ini sangat membantu mengumpulkan tugas kuliah tpi jaringannya harus bagus hrus full,"['alhamdulillah', 'aplikasi', 'sangat', 'bantu', 'kumpul', 'tugas', 'kuliah', 'tpi', 'jaring', 'bagus', 'hrus', 'full']",-3,negative
Penyimpanan ruangnya sedikit,penyimpanan ruangnya sedikit,"['simpan', 'ruang', 'sedikit']",-10,negative
Thk,thk,['thk'],0,negative
Pembaruan terus. Tidak sidarankan untuk mahasiswa kere macam saya.,pembaruan terus tidak sidarankan untuk mahasiswa kere macam saya,"['baru', 'terus', 'sidarankan', 'mahasiswa', 'kere', 'macam']",0,negative
Bisa gak apk nya di apus dri play store? Gak guna soal nya lemot...,bisa gak apk nya di apus dri play store gak guna soal nya lemot,"['gak', 'apk', 'nya', 'apus', 'dri', 'play', 'store', 'gak', 'soal', 'nya', 'lot']",-6,negative
Bikin pening mahasiswa tugas selalu numpuk di kejar waktu .awal nya si yes apknya lama lama kok loading lama ..,bikin pening mahasiswa tugas selalu numpuk di kejar waktu awal nya si yes apknya lama lama kok loading lama,"['bikin', 'pening', 'mahasiswa', 'tugas', 'selalu', 'numpuk', 'kejar', 'waktu', 'awal', 'nya', 'si', 'yes', 'apknya', 'lama', 'lama', 'kok', 'loading', 'lama']",-19,negative
B.aja,baja,['baja'],0,negative
"Disini saya kecewa dikarenakan Edlink susah dibuka kalo pake internetan dari kartu Indosat padahal kuota unlimited dipake buat medsos,game mobile,mbah google baik2 aja bahkan lancar kecepatan juga mbps giliran pake buat buka edlink malah loading terus, lemot kayak nggak ada kuota, malah kecepatan berubah 0,00 kbps, Parahhhh,,, terus juga kalo pake hp iPhone malah dibatesi mulai dari cara download tugas/kumpul tugas dll",disini saya kecewa dikarenakan edlink susah dibuka kalo pake internetan dari kartu indosat padahal kuota unlimited dipake buat medsosgame mobilembah google baik aja bahkan lancar kecepatan juga mbps giliran pake buat buka edlink malah loading terus lemot kayak nggak ada kuota malah kecepatan berubah  kbps parahhhh terus juga kalo pake hp iphone malah dibatesi mulai dari cara download tugaskumpul tugas dll,"['sini', 'kecewa', 'karena', 'edlink', 'susah', 'buka', 'kalo', 'pake', 'internetan', 'kartu', 'indosat', 'padahal', 'kuota', 'unlimited', 'dipake', 'buat', 'medsosgame', 'mobilembah', 'google', 'baik', 'aja', 'bahkan', 'lancar', 'cepat', 'mbps', 'gilir', 'pake', 'buat', 'buka', 'edlink', 'malah', 'loading', 'terus', 'lot', 'kayak', 'kuota', 'malah', 'cepat', 'ubah', 'kbps', 'parahhhh', 'terus', 'kalo', 'pake', 'hp', 'iphone', 'malah', 'dibatesi', 'mulai', 'cara', 'download', 'tugaskumpul', 'tugas']",-11,negative
Sangat membantu di saat situasi pandemi seperti sekarang ini,sangat membantu di saat situasi pandemi seperti sekarang ini,"['sangat', 'bantu', 'situasi', 'pandemi', 'sekarang']",-8,negative
"Kenalan ah, saya dari universtitas bale bandung 👏🙌",kenalan ah saya dari universtitas bale bandung,"['kenal', 'ah', 'universtitas', 'bale', 'bandung']",0,negative
"Kenapa setelah diperbarui tambah jelek aplikasinya, bagusan edlink yg lama, mohon diperbaiki demi kenyamanan",kenapa setelah diperbarui tambah jelek aplikasinya bagusan edlink yg lama mohon diperbaiki demi kenyamanan,"['baru', 'tambah', 'jelek', 'aplikasi', 'bagus', 'edlink', 'yg', 'lama', 'mohon', 'baik', 'nyaman']",-6,negative
Kacau parah,kacau parah,"['kacau', 'parah']",-5,negative
Koneksi stabil tapi saaat membuka edlink selalu error' atau lemot.. mohon di perhatikan lagi devlopernya,koneksi stabil tapi saaat membuka edlink selalu error atau lemot mohon di perhatikan lagi devlopernya,"['koneksi', 'stabil', 'saaat', 'buka', 'edlink', 'selalu', 'error', 'lot', 'mohon', 'perhati', 'devlopernya']",-9,negative
Sangat membantu perkuliahan,sangat membantu perkuliahan,"['sangat', 'bantu', 'kuliah']",-4,negative
Bgus sekali,bgus sekali,"['bgus', 'sekali']",-1,negative
Kenapa ketika di perbaharui kita tidak bisa lagi melihat anggota kelas kita yang sudah mengumpulkan tugas?,kenapa ketika di perbaharui kita tidak bisa lagi melihat anggota kelas kita yang sudah mengumpulkan tugas,"['baharu', 'lihat', 'anggota', 'kelas', 'kumpul', 'tugas']",-4,negative
Aplikasi Ini Sangat Membantu Saya Dalam Berkuliah Online,aplikasi ini sangat membantu saya dalam berkuliah online,"['aplikasi', 'sangat', 'bantu', 'kuliah', 'online']",-8,negative
Good App,good app,"['good', 'app']",5,positive
Not too good,not too good,"['not', 'too', 'good']",5,positive
"Sistemnya suka keluar2, gajelas",sistemnya suka keluar gajelas,"['sistem', 'suka', 'keluar', 'gajelas']",-5,negative
"Setelah diperbaharui, aplikasi menjadi lebih baik. Sukses EdLink.",setelah diperbaharui aplikasi menjadi lebih baik sukses edlink,"['baharu', 'aplikasi', 'jadi', 'lebih', 'baik', 'sukses', 'edlink']",1,positive
coba dulu,coba dulu,"['coba', 'dulu']",1,positive
Aplikasi bermasalah,aplikasi bermasalah,"['aplikasi', 'masalah']",-8,negative
mantappp,mantappp,['mantappp'],0,negative
Sangat membantu sekali bagi siswa sampai mahasiswa,sangat membantu sekali bagi siswa sampai mahasiswa,"['sangat', 'bantu', 'sekali', 'siswa', 'mahasiswa']",-1,negative
"Lemot, server nya kentang",lemot server nya kentang,"['lot', 'server', 'nya', 'kentang']",-5,negative
Aplikasinya bagus Dan sangat berguna untuk perkuliahan.,aplikasinya bagus dan sangat berguna untuk perkuliahan,"['aplikasi', 'bagus', 'sangat', 'guna', 'kuliah']",-8,negative
Kadang loading nya lama,kadang loading nya lama,"['kadang', 'loading', 'nya', 'lama']",-1,negative
Setuju dan sangat bermanfaat bagi kami,setuju dan sangat bermanfaat bagi kami,"['tuju', 'sangat', 'manfaat']",2,positive
Terimakasih edlink sudah membantu,terimakasih edlink sudah membantu,"['terimakasih', 'edlink', 'bantu']",4,positive
Mohon d adakan notifikasi jika ada dosen yang mempost di edlink.. biar kami lebih cepat merespon,mohon d adakan notifikasi jika ada dosen yang mempost di edlink biar kami lebih cepat merespon,"['mohon', 'd', 'adakan', 'notifikasi', 'dosen', 'mempost', 'edlink', 'biar', 'lebih', 'cepat', 'merespon']",2,positive
Great,great,['great'],3,positive
Sering ada gangguan pada aplikasinya,sering ada gangguan pada aplikasinya,"['sering', 'ganggu', 'aplikasi']",-5,negative
"Mengecewakan, sering down ga jelas",mengecewakan sering down ga jelas,"['kecewa', 'sering', 'down', 'ga', 'jelas']",-2,negative
Edlink sangat membantu dan berguna bagi mahasiswa untuk perkuliahan disaat dunia sedang dilanda waba virus corona/covid-19 ini. Terimakasih edlink 👍👍,edlink sangat membantu dan berguna bagi mahasiswa untuk perkuliahan disaat dunia sedang dilanda waba virus coronacovid ini terimakasih edlink,"['edlink', 'sangat', 'bantu', 'guna', 'mahasiswa', 'kuliah', 'saat', 'dunia', 'sedang', 'landa', 'waba', 'virus', 'coronacovid', 'terimakasih', 'edlink']",1,positive
Lemottttt payah,lemottttt payah,"['lemottttt', 'payah']",0,negative
"Banyak info yang dihadirkan menarik, mambantu perkuliahan Bagaimana cara singkronkan kelas akademik yang diikuti?",banyak info yang dihadirkan menarik mambantu perkuliahan bagaimana cara singkronkan kelas akademik yang diikuti,"['banyak', 'info', 'hadir', 'tarik', 'mambantu', 'kuliah', 'bagaimana', 'cara', 'singkronkan', 'kelas', 'akademik', 'ikut']",-9,negative
edlink lelet saat di akses janco,edlink lelet saat di akses janco,"['edlink', 'lelet', 'akses', 'janco']",2,positive
Kenapa ga bisa download materi dan susah login ya,kenapa ga bisa download materi dan susah login ya,"['ga', 'download', 'materi', 'susah', 'login']",-3,negative
"LEMOT AMAT SIH APLIKASI, JARINGAN BAGUS KOK NGADAT APLIKASI NYA.",lemot amat sih aplikasi jaringan bagus kok ngadat aplikasi nya,"['lot', 'sih', 'aplikasi', 'jaring', 'bagus', 'kok', 'ngadat', 'aplikasi', 'nya']",-12,negative
"Saya memang sangat beruntung menggunakan aplikasi ini karena memudahkan saya untuk masuk akun sebagai mahasiswa dengan tujuan mengikuti proses belajar yang secara online. Hanya saja, mengapa akhir-akhir ini aplikasi edlink sangat Lola (Loding Lama) sampai-sampai gak bisa masuk lagi. Sungguh menyebalkan padahal kulon sudah mulai 🥴",saya memang sangat beruntung menggunakan aplikasi ini karena memudahkan saya untuk masuk akun sebagai mahasiswa dengan tujuan mengikuti proses belajar yang secara online hanya saja mengapa akhirakhir ini aplikasi edlink sangat lola loding lama sampaisampai gak bisa masuk lagi sungguh menyebalkan padahal kulon sudah mulai 🥴,"['memang', 'sangat', 'untung', 'guna', 'aplikasi', 'mudah', 'masuk', 'akun', 'mahasiswa', 'tuju', 'ikut', 'proses', 'ajar', 'online', 'akhirakhir', 'aplikasi', 'edlink', 'sangat', 'lola', 'loding', 'lama', 'sampaisampai', 'gak', 'masuk', 'sungguh', 'sebal', 'padahal', 'kulon', 'mulai', '']",-15,negative
Terbaikkkk,terbaikkkk,['terbaikkkk'],0,negative
ini gimana sih susah amat ngumpulin tugas lewat hp habis upload berkas susah ngirim nya harus lewat pc atau komputer dulu gk jelas menyusahkan,ini gimana sih susah amat ngumpulin tugas lewat hp habis upload berkas susah ngirim nya harus lewat pc atau komputer dulu gk jelas menyusahkan,"['gimana', 'sih', 'susah', 'ngumpulin', 'tugas', 'lewat', 'hp', 'habis', 'upload', 'berkas', 'susah', 'ngirim', 'nya', 'lewat', 'pc', 'komputer', 'dulu', 'gk', 'jelas', 'susah']",-18,negative
"Lambat, telat ngumpulin tugas gara gara server down",lambat telat ngumpulin tugas gara gara server down,"['lambat', 'telat', 'ngumpulin', 'tugas', 'gara', 'gara', 'server', 'down']",-16,negative
Aplikasi tolol ngebug mulu Maintenance mulu bisa apa sih,aplikasi tolol ngebug mulu maintenance mulu bisa apa sih,"['aplikasi', 'tolol', 'ngebug', 'mulu', 'maintenance', 'mulu', 'apa', 'sih']",-10,negative
Ngelag banget ga jelas,ngelag banget ga jelas,"['ngelag', 'banget', 'ga', 'jelas']",-1,negative
"Kenapa cuma bisa upload gambar dan dokumen saja, saya mau upload video tapi tidak ada pilihan untuk kirim video",kenapa cuma bisa upload gambar dan dokumen saja saya mau upload video tapi tidak ada pilihan untuk kirim video,"['cuma', 'upload', 'gambar', 'dokumen', 'mau', 'upload', 'video', 'pilih', 'kirim', 'video']",0,negative
"Bagai mana cara menggunakan aplikasi in untuk seorang admin / sekolah sehingga bisa menambahkan guru, siswa dan kelas ? File yang diupload tidak support. Apakah nilai dari quiz yang dbuat bisa deksport k excel ?",bagai mana cara menggunakan aplikasi in untuk seorang admin  sekolah sehingga bisa menambahkan guru siswa dan kelas  file yang diupload tidak support apakah nilai dari quiz yang dbuat bisa deksport k excel,"['bagai', 'mana', 'cara', 'guna', 'aplikasi', 'in', 'orang', 'admin', 'sekolah', 'tambah', 'guru', 'siswa', 'kelas', 'file', 'diupload', 'support', 'nilai', 'quiz', 'dbuat', 'deksport', 'k', 'excel']",15,positive
kenapa gk bisa download aplikasi Edlink.. hanya yg keluar di layar bertulisan adalah terjadi kesalahan dalam pengambilan data. mqn karna dan mungkin sebab apa y,kenapa gk bisa download aplikasi edlink hanya yg keluar di layar bertulisan adalah terjadi kesalahan dalam pengambilan data mqn karna dan mungkin sebab apa y,"['gk', 'download', 'aplikasi', 'edlink', 'yg', 'keluar', 'layar', 'tulis', 'jadi', 'salah', 'ambil', 'data', 'mqn', 'karna', 'mungkin', 'apa', 'y']",-24,negative
